"gene_id","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"218204_s_at",0.334067267627623,6.91191257458615,3.02418565329325,0.00324653463390577,0.00411762372629759,-2.46242220569909
"218205_s_at",0.49205397838623,9.34533745120201,3.02406425798516,0.00324771610830884,0.00411888776559168,-2.46275481784509
"218206_x_at",0.454468492795281,9.96373590779049,3.02398366066601,0.00324850073807409,0.00411964839488389,-2.46297564119798
"218207_s_at",0.743535951219639,7.69839137836083,3.02358464280594,0.00325238783753675,0.00412434317003366,-2.46406881375207
"218208_at",0.308921508591767,10.2404014138645,3.02337806638907,0.00325440192847092,0.0041266623895816,-2.46463471642029
"218209_s_at",0.519795761648621,9.20945680212778,3.02290983146342,0.00325897143054242,0.00413222148553413,-2.46591729910601
"218210_at",0.345029791047587,7.88611424924659,3.02267872084722,0.00326122902751407,0.0041348487294507,-2.4665502945594
"218211_s_at",0.897664761678273,9.70602224920814,3.0218371581482,0.00326946205290793,0.00414505137260738,-2.46885494183737
"218212_s_at",0.328046547714883,6.76434476019585,3.02143654587506,0.00327338801007461,0.00414979262834912,-2.46995184832729
"218213_s_at",0.750692722694303,7.56993788713664,3.02141227841183,0.00327362596879462,0.00414985820131133,-2.47001829066242
"218214_at",0.459203077679506,9.64117606619848,3.02082748732522,0.00327936508365108,0.00415689698839507,-2.47161926962994
"218215_s_at",0.489256101134066,9.78770251940469,3.02068394949557,0.00328077518133182,0.00415844785925011,-2.47201219371436
"218216_x_at",0.948452735929219,6.89936308426785,3.02065779312314,0.00328103219873899,0.00415853708460844,-2.4720837931928
"218217_at",0.655600825123434,7.48131160769502,3.02048068332391,0.00328277300340545,0.00416050681577089,-2.47256859367606
"218218_at",0.477393484947622,8.68239922269162,3.02045811276486,0.00328299490990512,0.00416055141769981,-2.4726303741287
"218219_s_at",0.425558462481084,8.59537599376389,3.02043775648768,0.00328319505820942,0.00416056844188355,-2.4726860932955
"218220_at",0.319027721783156,9.60736273758538,3.02013062674838,0.00328621621082929,0.00416416012657998,-2.47352673119421
"218221_at",0.46732104062007,9.37420756683147,3.01988548424036,0.00328862945903285,0.00416698113474519,-2.47419765530482
"218222_x_at",0.638461795640684,6.9839044176734,3.01919611818408,0.00329542456159351,0.00417535369909525,-2.47608412559474
"218223_s_at",0.492473772383028,9.19514023909131,3.01876913436513,0.00329963987241431,0.00418045686132636,-2.47725240341976
"218224_at",0.45612800857951,11.1117175166334,3.01856276186826,0.00330167903219334,0.00418280253990358,-2.4778170145647
"218225_at",0.651973137039031,6.60189846017163,3.01848056393826,0.00330249155211397,0.00418359404523909,-2.47804188978846
"218226_s_at",0.714815886297414,7.87739210002603,3.01830206079304,0.00330425667901747,0.00418559215385971,-2.47853021745649
"218227_at",0.518878635299042,4.50672335265475,3.01826560552795,0.003304617274019,0.00418581097754465,-2.47862994454239
"218228_s_at",0.389081632959832,9.4781220566937,3.01809062782898,0.00330634856236266,0.00418771736390365,-2.47910860018684
"218229_s_at",0.351940374025537,5.55573632741873,3.01807550865739,0.00330649819595749,0.00418771736390365,-2.47914995797879
"218230_at",0.380876649931098,10.039829957395,3.01715564761984,0.00331561381436039,0.00419902373545851,-2.48166587779003
"218231_at",0.535760750104245,8.41610294322643,3.01669220370922,0.00332021525038511,0.00420461220870262,-2.48293321062847
"218232_at",0.480082994933878,8.66830124575141,3.01660045096007,0.00332112694481629,0.00420552774400986,-2.48318409872196
"218233_s_at",0.439198999836287,10.0459569491208,3.01635756241511,0.00332354150803511,0.00420834614294502,-2.48384822150899
"218234_at",0.544478347029601,7.67103636397441,3.01565684985128,0.00333051642658495,0.00421693832226788,-2.48576391458558
"218235_s_at",0.339858034114782,6.88585508171648,3.01555557561113,0.00333152563428809,0.00421751530554065,-2.48604076041747
"218236_s_at",0.598236097616596,8.37748794331305,3.01555494550983,0.00333153191419523,0.00421751530554065,-2.48604248285465
"218237_s_at",0.772138439324387,10.5059059299106,3.01555414057084,0.00333153993663899,0.00421751530554065,-2.48604468322559
"218238_at",0.469498673323381,8.68457041338622,3.01515054609706,0.00333556462415433,0.00422237042095273,-2.48714788366853
"218239_s_at",0.692756508573263,8.86713259350933,3.01511150216773,0.00333595421312681,0.00422262370660672,-2.48725460144571
"218240_at",0.784659672363403,7.31485444088459,3.01428193371601,0.00334424179414141,0.0042328736097048,-2.48952177371814
"218241_at",0.512651463616286,7.05633417172217,3.01343048512795,0.0033527677816179,0.00424342408711756,-2.49184821489041
"218242_s_at",0.564844462406457,8.35805855070756,3.01229843617812,0.00336413472772731,0.00425756881569533,-2.49494052045614
"218243_at",0.407124909989264,7.2722330617493,3.01140904079601,0.00337309019286966,0.00426866019807557,-2.49736932929101
"218244_at",0.74227816522305,7.18889277240674,3.01084690625931,0.0033787617922638,0.00427559481043866,-2.4989041351209
"218245_at",0.517487229082296,7.34705821142578,3.01076445787299,0.00337959438880524,0.00427640555171761,-2.49912922576646
"218246_at",0.823774829561101,9.13634199742949,3.01035237378963,0.00338375862492409,0.00428143168696744,-2.50025417275342
"218247_s_at",0.415929995616024,7.59805907273317,3.0098127803801,0.00338921856319006,0.00428809659570543,-2.50172701726694
"218248_at",0.434786076184975,10.4332472235356,3.00933599274579,0.00339404977884822,0.00429396532232299,-2.50302825149422
"218249_at",0.463394789679071,9.18259463958157,3.00920250965416,0.00339540348408392,0.00429543407720234,-2.50339251935689
"218250_s_at",0.580880971204656,5.7007026332356,3.008902584134,0.00339844697144889,0.00429904024211159,-2.50421095121463
"218251_at",0.74694329082298,3.99510879130166,3.00860056713859,0.00340151423328155,0.0043026760706297,-2.50503502305633
"218252_at",0.489339804032177,7.65186124029375,3.00842169421918,0.00340333206109463,0.00430473113000918,-2.50552305695834
"218253_s_at",0.601784925065453,8.31710440797064,3.00773836614169,0.00341028478556255,0.0043132805015717,-2.50738722012603
"218254_s_at",0.558838006961874,7.5053984852516,3.00699336301553,0.00341788001861656,0.00432264149241346,-2.5094192433818
"218255_s_at",0.439003941610978,9.98676239402586,3.00695774296926,0.00341824355330527,0.00432285590796261,-2.50951638807828
"218256_s_at",0.394813805462026,6.81120373949181,3.00648587698308,0.00342306274926411,0.0043287047977897,-2.51080319504667
"218257_s_at",0.379417808501926,10.437996239819,3.00611323334199,0.00342687302409371,0.00433327724411986,-2.51181930032157
"218258_at",0.463279057887358,9.20751039338428,3.00587176960296,0.00342934408193286,0.00433615582918401,-2.51247765622888
"218259_at",0.658809760737663,8.23582230500504,3.0051327105542,0.00343691761203346,0.00434548542606341,-2.51449244806342
"218260_at",0.499704048825013,9.51268424081653,3.00486278492105,0.0034396875398063,0.0043487408481988,-2.51522820727862
"218261_at",0.350283956233934,10.6737804798274,3.00454639271342,0.00344293692887652,0.00435260204165185,-2.51609055575494
"218262_at",0.642068997029817,8.07665508909366,3.00435409637634,0.00344491322482465,0.00435485342876085,-2.51661463630882
"218263_s_at",0.626424582350858,8.20445846928842,3.00422639083483,0.00344622627883409,0.00435626617717609,-2.51696266729347
"218264_at",0.54574073418361,8.52779204400441,3.00416730632028,0.00344683393585115,0.00435678714575819,-2.51712368395786
"218265_at",1.06836128553097,10.1520765759344,3.00411245698007,0.00344739812479001,0.00435725311484378,-2.51727315664561
"218266_s_at",0.695636354885286,7.40281131898051,3.00393767702493,0.00344919650894457,0.00435927887294038,-2.51774944341713
"218267_at",0.456187870423421,7.09958604183209,3.00189859118548,0.00347024175611359,0.00438562823567826,-2.52330441474989
"218268_at",0.599847412371543,8.24118893294958,3.00143022459213,0.0034750924807853,0.00439150942830709,-2.52457992587619
"218269_at",0.29563963372308,11.1088452328928,3.00113355311295,0.00347816825795179,0.00439514706203583,-2.52538777260616
"218270_at",0.498978705509881,6.56535502177413,3.00092591729971,0.00348032244524552,0.00439761979287813,-2.52595313336355
"218271_s_at",0.858312327103465,7.68288368030192,3.00084360804989,0.00348117673172404,0.0043984498249607,-2.52617724010383
